,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
0,154.28172193504585,40.89127334258134,-154.10480801470672,-62.30919477787093,0.1769139203391319,-21.417921435289585,0.22261201738638503,0.23293022437881009,0.23293022437881009,1.0893408912909548,-5.136396383265853,1.0842416636942789,-5.742664328307481,10.796467541742704
1,-167.3893588755593,-69.26380170141178,167.6687079227064,44.696089583185575,0.2793490471470932,-24.567712118226204,0.2607749359629663,0.24815250442632897,0.2607749359629663,1.055448858963825,-9.663350289565473,1.0624202918687962,-8.8364715842286,12.087088051078709
2,-173.82187869818148,-72.81027557910379,174.1063392687029,48.43144093652039,0.2844605705214178,-24.3788346425834,0.27128565191287957,0.258371949620399,0.27128565191287957,1.055448858963825,-9.663350289565473,1.0626967214839165,-8.808235477040128,12.574266578023188
3,-152.42413861039122,7.045464240557578,152.60143119931567,-24.803284020451798,0.17729258892444477,-17.75781977989422,0.21965231271062544,0.22252530379102098,0.22252530379102098,1.055448858963825,-9.663350289565473,1.055594516861777,-9.101136280198894,10.314192698707373
4,117.27118415600819,-60.171362072215146,-117.14821212495886,41.91288464177373,0.12297203104932919,-18.258477430441417,0.1897394048923559,0.17868425356976642,0.1897394048923559,1.055448858963825,-9.663350289565473,1.05793866976291,-10.111201666514852,8.794544940541659
5,-397.66870792270686,-119.69608958318665,399.8956187286636,97.36485019954029,2.22691080595672,-22.331239383646363,0.5938997226958275,0.5767422908070938,0.5938997226958275,1.0624202918687962,-8.8364715842286,1.0842416636942789,-5.742664328307481,27.527638786402175
6,-394.106339268703,-118.4314409365246,396.29135630048074,95.64158607520953,2.185017031777761,-22.789854861315064,0.5883471672630656,0.5712649166114583,0.5883471672630656,1.0626967214839165,-8.808235477040128,1.0842416636942789,-5.742664328307481,27.27027422727975
7,300.6286035820835,-12.478305608501401,-300.1996673130758,3.5852208323080745,0.42893626900769277,-8.893084776193326,0.432601559150092,0.4321154818464548,0.432601559150092,1.056748860445479,-8.38298546812668,1.055594516861777,-9.101136280198894,21.091064175893383
8,267.8212886236517,-7.266768150104163,-267.5063595540998,-3.681047387697255,0.31492906955190847,-10.947815537801418,0.3852023135854633,0.3850648488890257,0.3852023135854633,1.056748860445479,-8.38298546812668,1.055594516861777,-9.101136280198894,18.78016050726914
9,267.8212886236517,-7.266768150104163,-267.5063595540998,-3.681047387697255,0.31492906955190847,-10.947815537801418,0.3852023135854633,0.3850648488890257,0.3852023135854633,1.056748860445479,-8.38298546812668,1.055594516861777,-9.101136280198894,18.78016050726914
10,362.3028418353985,188.57933330073212,-362.0930037996224,-190.0117651267273,0.2098380357761016,-1.4324318259951951,0.5872394508251452,0.5896455045437549,0.5896455045437549,1.056748860445479,-8.38298546812668,1.0536671933991457,-8.639632936375849,27.330453005480727
11,126.69906223839871,0.5265125334556018,-126.57881257909467,-26.33428900915704,0.12024965930403653,-25.807776475701438,0.17754434117053897,0.18154419377838485,0.18154419377838485,1.0842416636942789,-5.742664328307481,1.0820207116115468,-6.336253142916084,8.414691570178586
12,104.02119343606833,-21.235977764591144,-103.94956744053184,0.8650149253629387,0.07162599553649329,-20.370962839228206,0.15280835772707138,0.14960967080544654,0.15280835772707138,1.055594516861777,-9.101136280198894,1.05568373757467,-9.518043732448895,7.082766861651714
13,-182.35110458291913,-60.953681485852755,182.50173855284973,50.452311017596045,0.1506339699305954,-10.50137046825671,0.27762786021870667,0.2725318623407485,0.27762786021870667,1.0522076594501304,-9.549062765502466,1.055594516861777,-9.101136280198894,12.868232061890481
14,-182.35110458291913,-60.953681485852755,182.50173855284973,50.452311017596045,0.1506339699305954,-10.50137046825671,0.27762786021870667,0.2725318623407485,0.27762786021870667,1.0522076594501304,-9.549062765502466,1.055594516861777,-9.101136280198894,12.868232061890481
15,-34.153198593274524,-105.97700893968204,34.28886858222414,107.15426208552402,0.13566998894961557,1.1772531458419877,0.4490212201401136,0.4476125840718987,0.4490212201401136,0.9544418786692463,-15.316377024919596,0.9674405691937911,-15.14043008813364,33.33117223979447
16,-113.63986435161263,-75.19594256497113,117.07584574886498,85.71055747350663,3.4359813972523483,10.514614908535492,0.5495237106930911,0.5445097041691039,0.5495237106930911,0.9544418786692463,-15.316377024919596,1.0256520081663498,-11.84903118678594,40.791545319944916
17,65.24695016379229,-8.770532476938639,-64.9934661342249,9.173366109597303,0.2534840295673888,0.40283363265866434,0.2615489406308486,0.2611420755050272,0.2615489406308486,0.9688219012830902,-14.115024732025807,0.9674405691937911,-15.14043008813364,19.414968376288076
18,-61.902796407335174,-74.17576070579116,62.69007992819918,77.04084308005073,0.7872835208640083,2.865082374259572,0.3838292403200315,0.3797209607265068,0.3838292403200315,0.9688219012830902,-14.115024732025807,1.0067914506081335,-12.89684431912434,28.491924091659477
19,-67.0247504930035,-17.31245888354357,67.3223584309805,17.748303598657895,0.2976079379770056,0.43584471511432454,0.26714378506046954,0.2661697176081935,0.26714378506046954,0.9973858069781221,-13.98472268463745,1.0067914506081335,-12.89684431912434,19.830277753605166
20,82.07732957610983,82.75077744519096,-81.22553131087011,-79.59452313380999,0.8517982652397222,3.1562543113809767,0.4497848548713866,0.4524507985359547,0.4524507985359547,0.9973858069781221,-13.98472268463745,0.9674405691937911,-15.14043008813364,33.58575234223593
21,-173.42118742090565,-48.665710990843806,173.99999999999994,20.666285712622866,0.57881257909429,-27.99942527822094,0.25291957501420964,0.24359391245141762,0.25291957501420964,1.0820207116115468,-6.336253142916084,1.0928999999999998,-4.429319532525333,12.330845497747303
22,-254.28172193504528,-70.89127334257473,254.99999999999972,46.02371471134896,0.7182780649544327,-24.867558631225776,0.36818059483189675,0.3580972649462483,0.36818059483189675,1.0893408912909548,-5.136396383265853,1.0993999999999997,-3.550011699790594,17.950283325779555
